fiscal_year,month_numeric,month,category,current_month_value,current_year_to_date_val,prev_month_value,prev_year_to_date_val,released_on,updated_on,data_source,data_url
2020-2021,4,April,EXTERNAL FINANCING,1842.66,1842.66,4064.02,4064.02,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,EXTERNAL FINANCING,27256.53,29099.19,-700.28,3363.74,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,EXTERNAL FINANCING,404.06,29503.25,3581.54,6945.28,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,EXTERNAL FINANCING,9661.65,39164.90,-990.55,5954.73,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,EXTERNAL FINANCING,907.41,40072.31,1694.26,7648.99,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,EXTERNAL FINANCING,-1708.42,38363.89,-3060.23,4588.76,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,EXTERNAL FINANCING,1145.47,39509.36,1589.82,6178.58,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,EXTERNAL FINANCING,-1013.86,38495.50,919.84,7098.42,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,EXTERNAL FINANCING,3510.27,42005.77,1892.33,8990.75,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,EXTERNAL FINANCING,8468.49,50474.26,904.69,9895.44,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,EXTERNAL FINANCING,4536.84,55011.10,1258.31,11153.75,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,EXTERNAL FINANCING,15259.93,70271.03,-2471.64,8682.11,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,DOMESTIC FINANCING,277668.86,277668.86,152984.08,152984.08,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,DOMESTIC FINANCING,159575.21,437244.07,209809.52,362793.60,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,DOMESTIC FINANCING,195615.64,632859.71,62316.03,425109.63,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,DOMESTIC FINANCING,149324.79,782184.50,116540.19,541649.82,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,DOMESTIC FINANCING,48090.19,830274.69,4540.77,546190.59,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,DOMESTIC FINANCING,45354.25,875628.94,100774.35,646964.94,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,DOMESTIC FINANCING,38015.98,913644.92,67301.04,714265.98,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,DOMESTIC FINANCING,123366.80,1037011.72,86469.65,800735.63,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,DOMESTIC FINANCING,79451.72,1116463.44,121998.94,922734.57,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,DOMESTIC FINANCING,67066.81,1183530.25,52842.06,975576.63,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,DOMESTIC FINANCING,167006.20,1350536.45,49754.47,1025331.10,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,DOMESTIC FINANCING,400653.65,1751190.10,-99822.13,925508.97,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,(MARKET BORROWINGS),96084.13,96084.13,126392.46,126392.46,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,(MARKET BORROWINGS),167799.41,263883.54,108390.27,234782.73,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,(MARKET BORROWINGS),286757.03,550640.57,19299.19,254081.92,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,(MARKET BORROWINGS),221347.16,771987.73,42478.09,296560.01,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,(MARKET BORROWINGS),202401.32,974389.05,107732.44,404292.45,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,(MARKET BORROWINGS),136914.86,1111303.91,73960.57,478253.02,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,(MARKET BORROWINGS),42495.91,1153799.82,21603.14,499856.16,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,(MARKET BORROWINGS),61994.62,1215794.44,51673.70,551529.86,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,(MARKET BORROWINGS),16842.94,1232637.38,93654.84,645184.70,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,(MARKET BORROWINGS),49455.84,1282093.22,-34391.51,610793.19,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,(MARKET BORROWINGS),74657.82,1356751.04,-56755.41,554037.78,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,(MARKET BORROWINGS),-37013.50,1319737.54,2051.36,556089.14,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,(SECURITIES AGAINST SMALL SAVINGS),-6276.32,-6276.32,-1502.08,-1502.08,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,(SECURITIES AGAINST SMALL SAVINGS),-1182.35,-7458.67,-893.06,-2395.14,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,(SECURITIES AGAINST SMALL SAVINGS),34569.03,27110.36,-1850.25,-4245.39,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,(SECURITIES AGAINST SMALL SAVINGS),11303.01,38413.37,53135.22,48889.83,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,(SECURITIES AGAINST SMALL SAVINGS),-4193.95,34219.42,-2674.04,46215.79,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,(SECURITIES AGAINST SMALL SAVINGS),16499.93,50719.35,15064.46,61280.25,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,(SECURITIES AGAINST SMALL SAVINGS),24749.33,75468.68,18011.46,79291.71,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,(SECURITIES AGAINST SMALL SAVINGS),-3807.50,71661.18,21865.29,101157.00,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,(SECURITIES AGAINST SMALL SAVINGS),36387.98,108049.16,19947.47,121104.47,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,(SECURITIES AGAINST SMALL SAVINGS),-3256.05,104793.11,21059.01,142163.48,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,(SECURITIES AGAINST SMALL SAVINGS),43395.74,148188.85,27211.87,169375.35,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
